System,Planet,Region,xcoord,ycoord,wiki
Saijo,Saijo,Outer Rim,-97.65,-1054.36,http://starwars.wikia.com/wiki/Saijo
Seitia,Barkhesh,Outer Rim,-54.536,-974.433,http://starwars.wikia.com/wiki/Barkhesh
Seitia,Manpha,Outer Rim,-79.675,-1.014.271,http://starwars.wikia.com/wiki/Manpha
Rayter,Najarka,Outer Rim,-146.421,-945.234,http://starwars.wikia.com/wiki/Najarka
Tunka,Absit,Outer Rim,-216.873,-935.612,http://starwars.wikia.com/wiki/Absit
Tunka,Thakwaa,Outer Rim,-243.875,-918.853,http://starwars.wikia.com/wiki/Thakwaa
Varada,Skye,Outer Rim,-322.397,-992.098,http://starwars.wikia.com/wiki/Skye
Subterrel,Fwatna,Outer Rim,-27.534,-1.051.515,http://starwars.wikia.com/wiki/Fwatna
Subterrel,Polis Massa,Outer Rim,-31.026,-1.073.163,http://starwars.wikia.com/wiki/Polis_Massa
Subterrel,Subterrel,Outer Rim,13.201,-1.094.776,http://starwars.wikia.com/wiki/Subterrel
Kriz,Quintas,Outer Rim,-115.074,-913.266,http://starwars.wikia.com/wiki/Black_Hole_of_Quintas
Kriz,Sil'Lume,Outer Rim,-82.003,-967.915,http://starwars.wikia.com/wiki/Sil'Lume
Kriz,Berrol's Donn,Outer Rim,-82.753,-921.214,http://starwars.wikia.com/wiki/Berrol%27s_Donn
Elrood,Elrood,Outer Rim,156.609,-1.005.098,http://starwars.wikia.com/wiki/Elrood
Tarabba,Tarabba,Outer Rim,162.137,-980.846,http://starwars.wikia.com/wiki/Tarabba
Tarabba,Skustell Cluster,Outer Rim,223.415,-959.708,http://starwars.wikia.com/wiki/Skustell_Cluster
Tarabba,Utapau,Outer Rim,205.724,-984.382,http://starwars.wikia.com/wiki/Utapau
Rseik,Vestar,Outer Rim,260.54,-1.070.384,http://starwars.wikia.com/wiki/Vestar
Rseik,Cotellier,Outer Rim,273.808,-1.039.891,http://starwars.wikia.com/wiki/Cotellier
Rseik,Taroon,Outer Rim,292.197,-1.003.578,http://starwars.wikia.com/wiki/Taroon
Rseik,Ma'ar Shaddam,Outer Rim,274.041,-1.019.174,http://starwars.wikia.com/wiki/Ma'ar_Shaddam
Rseik,Corva Yag,Outer Rim,222.133,-1.035.468,http://starwars.wikia.com/wiki/Corva_Yag
Airam,Swellen,Outer Rim,96.321,-1.013.478,http://starwars.wikia.com/wiki/Swellen
Airam,Skor,Outer Rim,141.013,-1.041.178,http://starwars.wikia.com/wiki/Skor
Kathol,Kal'Shebbol,Outer Rim,165.9,-1127.83,http://starwars.wikia.com/wiki/Kal'Shebbol
Minos,Adarlon,Outer Rim,162.641,-1.055.903,http://starwars.wikia.com/wiki/Adarlon
Minos,Karideph,Outer Rim,162.408,-1.069.869,http://starwars.wikia.com/wiki/Karideph
Minos,Pergitor,Outer Rim,163.339,-1.083.603,http://starwars.wikia.com/wiki/Pergitor
Subterrel,Besberra,Outer Rim,41.134,-1.044.032,http://starwars.wikia.com/wiki/Besberra
Subterrel,Askaj,Outer Rim,122.371,-1.066.145,http://starwars.wikia.com/wiki/Askaj
Sluis,Praesitlyn,Outer Rim,161.788,-913.284,http://starwars.wikia.com/wiki/Praesitlyn
Sluis,Sluis Van,Outer Rim,160.741,-917.474,http://starwars.wikia.com/wiki/Sluis_Van
Sluis,Denab,Outer Rim,158.82,-934.408,http://starwars.wikia.com/wiki/Denab
Sluis,Dagobah,Outer Rim,164.058,-951.168,http://starwars.wikia.com/wiki/Dagobah
Danjar,Queyta,Outer Rim,179.796,-927.765,http://starwars.wikia.com/wiki/Queyta
Atravis,Shumavar,Outer Rim,89.803,-923.162,http://starwars.wikia.com/wiki/Shumavar
Atravis,Atravis,Outer Rim,71.414,-945.741,http://starwars.wikia.com/wiki/Atravis
Atravis,Tosste,Outer Rim,33.685,-989.33,http://starwars.wikia.com/wiki/Tosste
Atravis,Mustafar,Outer Rim,17.856,-984.675,http://starwars.wikia.com/wiki/Mustafar
Atravis,Dorlo,Outer Rim,23.702,-928.042,http://starwars.wikia.com/wiki/Dorlo
Atravis,Rutan,Outer Rim,10.873,-1.015.866,http://starwars.wikia.com/wiki/Rutan
Steniplis,Kelrodo-Ai,Outer Rim,62.346,-894.166,http://starwars.wikia.com/wiki/Kelrodo-Ai
Wazta,Ryoone,Outer Rim,-235.185,-795.406,http://starwars.wikia.com/wiki/Ryoone
Wazta,Vassek,Outer Rim,-207.718,-776.318,http://starwars.wikia.com/wiki/Vassek
Wazta,Koda Station,Outer Rim,-279.179,-810.07,http://starwars.wikia.com/wiki/Koda_Station
Brema,Cmaoli Di,Outer Rim,183.261,-772.399,http://starwars.wikia.com/wiki/Cmaoli_Di
Brema,Sullust,Outer Rim,156.027,-781.302,http://starwars.wikia.com/wiki/Sullust
Brema,Bortras,Outer Rim,144.33,-809.235,http://starwars.wikia.com/wiki/Bortras
Bozhnee,Belsavis,Outer Rim,40.589,-816.717,http://starwars.wikia.com/wiki/Belsavis
Bozhnee,Ossel,Outer Rim,43.861,-817.056,http://starwars.wikia.com/wiki/Ossel
Bozhnee,Garnib,Outer Rim,49.311,-815.336,http://starwars.wikia.com/wiki/Garnib
Videnda,Dolla,Outer Rim,25.051,-843.57,http://starwars.wikia.com/wiki/Dolla
Videnda,Dorvalla,Outer Rim,139.442,-839.612,http://starwars.wikia.com/wiki/Dorvalla
Javin,Lutrillia,Outer Rim,-109.35,-843.916,http://starwars.wikia.com/wiki/Lutrillia
Javin,,Outer Rim,-105.135,-857.888,
Javin,,Outer Rim,-112.734,-843.585,
Javin,,Outer Rim,-115.132,-837.482,
Javin,,Outer Rim,-115.529,-814.725,
Javin,,Outer Rim,-118.333,-826.208,
Javin,,Outer Rim,-104.693,-830.911,
Javin,Shuldene,Outer Rim,-114.703,-830.999,http://starwars.wikia.com/wiki/Shuldene
Javin,,Outer Rim,-103.976,-843.452,
Javin,,Outer Rim,-100.016,-839.814,
Javin,Gerrenthum,Outer Rim,-90.242,-840.709,http://starwars.wikia.com/wiki/Gerrenthum
Javin,Bespin,Outer Rim,-95.33,-849.857,http://starwars.wikia.com/wiki/Bespin
Javin,Hoth,Outer Rim,-94.755,-858.69,http://starwars.wikia.com/wiki/Hoth
Javin,Isde Naha,Outer Rim,-82.437,-890.816,http://starwars.wikia.com/wiki/Isde_Naha
Javin,Javin,Outer Rim,-82.324,-811.505,http://starwars.wikia.com/wiki/Javin
Javin,Aztubek,Outer Rim,-84.763,-815.345,http://starwars.wikia.com/wiki/Aztubek
Javin,Kumru,Outer Rim,-83.713,-820.434,http://starwars.wikia.com/wiki/Kumru
Javin,,Outer Rim,-74.929,-813.78,
Javin,High Chunah,Outer Rim,-84.569,-825.744,http://starwars.wikia.com/wiki/High_Chunah
Javin,Kirtarkin,Outer Rim,-89.719,-830.982,http://starwars.wikia.com/wiki/Kirtarkin
Javin,Mexeluine,Outer Rim,-89.704,-835.802,http://starwars.wikia.com/wiki/Mexeluine
Javin,The Ring,Outer Rim,-84.924,-838.073,http://starwars.wikia.com/wiki/The_Ring
Javin,Council,Outer Rim,-82.388,-840.776,http://starwars.wikia.com/wiki/Council_(planet)
Javin,Nothoiin,Outer Rim,-75.222,-843.09,http://starwars.wikia.com/wiki/Nothoiin
Javin,Saila Na,Outer Rim,-70.275,-842.261,http://starwars.wikia.com/wiki/Saila_Na
Javin,Bavva,Outer Rim,-65.711,-841.278,http://starwars.wikia.com/wiki/Bavva
Javin,Zephry,Outer Rim,-69.744,-853.374,http://starwars.wikia.com/wiki/Zephry
Javin,Polmanar,Outer Rim,-66.913,-863.242,http://starwars.wikia.com/wiki/Polmanar
Javin,Delphon,Outer Rim,-67.469,-868.296,http://starwars.wikia.com/wiki/Delphon
Javin,,Outer Rim,-67.654,-871.048,
Javin,Tinoon,Outer Rim,-66.066,-874.249,http://starwars.wikia.com/wiki/Tinoon
Javin,,Outer Rim,-69.138,-876.668,
Javin,Mev,Outer Rim,-66.915,-883.062,http://starwars.wikia.com/wiki/Mev
Javin,Togominda,Outer Rim,-82.898,-897.783,http://starwars.wikia.com/wiki/Togominda
Javin,,Outer Rim,-97.538,-894.747,
Javin,,Outer Rim,-99.763,-882.838,
Javin,,Outer Rim,-99.507,-871.406,
Javin,Mijos,Outer Rim,-96.64,-834.897,http://starwars.wikia.com/wiki/Mijos
Javin,Indellian,Outer Rim,-90.985,-845.786,http://starwars.wikia.com/wiki/Indellian
Javin,Varonat,Outer Rim,-94.094,-847.937,http://starwars.wikia.com/wiki/Varonat
Javin,Anoat,Outer Rim,-95.223,-854.071,http://starwars.wikia.com/wiki/Anoat
Javin,Bendeluum,Outer Rim,-89.517,-849.679,http://starwars.wikia.com/wiki/Bendeluum
Javin,Ison,Outer Rim,-91.156,-861.241,http://starwars.wikia.com/wiki/Ison
Javin,Zhanox,Outer Rim,-89.163,-853.907,http://starwars.wikia.com/wiki/Zhanox
Javin,Ione,Outer Rim,-87.474,-858.066,http://starwars.wikia.com/wiki/Ione
Javin,Mataou,Outer Rim,-88.722,-861.646,http://starwars.wikia.com/wiki/Mataou
Javin,Allyuen,Outer Rim,-77.724,-857.391,http://starwars.wikia.com/wiki/Allyuen
Javin,Burnin Konn,Outer Rim,-81.706,-858.899,http://starwars.wikia.com/wiki/Burnin_Konn
Javin,Isis,Outer Rim,-82.09,-863.11,http://starwars.wikia.com/wiki/Isis
Javin,Tokmia,Outer Rim,-78.386,-861.982,http://starwars.wikia.com/wiki/Tokmia
Javin,Anantapar,Outer Rim,-87.608,-864.511,http://starwars.wikia.com/wiki/Anantapar
Javin,Shuxl,Outer Rim,-87.449,-867.607,http://starwars.wikia.com/wiki/Shuxl
Javin,Ertegas,Outer Rim,-87.96,-870.579,http://starwars.wikia.com/wiki/Ertegas
Javin,Darlyn Boda,Outer Rim,-88.348,-873.507,http://starwars.wikia.com/wiki/Darlyn_Boda
Javin,Orn Kios,Outer Rim,-87.299,-880.642,http://starwars.wikia.com/wiki/Orn_Kios
Javin,Ozu,Outer Rim,-88.775,-886.01,http://starwars.wikia.com/wiki/Ozu
Javin,Bettel,Outer Rim,-74.434,-888.603,http://starwars.wikia.com/wiki/Bettel
Seswenna,Eriadu,Outer Rim,155.503,-829.311,http://starwars.wikia.com/wiki/Eriadu
Seswenna,Averam,Outer Rim,145.378,-846.42,http://starwars.wikia.com/wiki/Averam
Grumani,Darkknell,Outer Rim,188.673,-754.591,http://starwars.wikia.com/wiki/Darkknell
Grumani,Verdanth,Outer Rim,271.015,-735.89,http://starwars.wikia.com/wiki/Verdanth
Grumani,Sanrafsix,Outer Rim,223.064,-742.873,http://starwars.wikia.com/wiki/Sanrafsix
Garis,Syned,Outer Rim,218.409,-768.478,http://starwars.wikia.com/wiki/Syned
Garis,Omwat,Outer Rim,227.72,-803.394,http://starwars.wikia.com/wiki/Omwat
Mayagil,Bith,Outer Rim,156.9,-876.797,http://starwars.wikia.com/wiki/Bith_(planet)
Mayagil,Triton,Outer Rim,160.217,-885.526,http://starwars.wikia.com/wiki/Triton
Mayagil,Xagobah,Outer Rim,189.24,-871.103,http://starwars.wikia.com/wiki/Xagobah
Mayagil,Kabal,Outer Rim,233.772,-851.811,http://starwars.wikia.com/wiki/Kabal
Tamarin,Dravian Station,Outer Rim,251.462,-890.684,http://starwars.wikia.com/wiki/Dravian_Station
Tamarin,Kirdo,Outer Rim,265.894,-940.264,http://starwars.wikia.com/wiki/Kirdo
Tamarin,Sevarcos,Outer Rim,229.349,-917.685,http://starwars.wikia.com/wiki/Sevarcos
Toblain,Shadda-Bi Boran,Outer Rim,323.622,-805.954,http://starwars.wikia.com/wiki/Shadda-Bi_Boran
Sanbra,Rugosa,Outer Rim,372.557,-757.029,http://starwars.wikia.com/wiki/Rugosa
Sanbra,Sanbra,Outer Rim,324.373,-757.901,http://starwars.wikia.com/wiki/Sanbra
Bon'nyuw-Luq,Arbra,Outer Rim,279.861,-768.013,http://starwars.wikia.com/wiki/Arbra
Bon'nyuw-Luq,Sharlissia,Outer Rim,285.447,-817.593,http://starwars.wikia.com/wiki/Sharlissia
Svivreni,Svivren,Outer Rim,360.88,-945.283,http://starwars.wikia.com/wiki/Svivren
Parmic,Spice Terminus,Outer Rim,437.229,-889.728,http://starwars.wikia.com/wiki/Spice_Terminus
Quence,Elshandruu Pica,Outer Rim,388.095,-876.266,http://starwars.wikia.com/wiki/Elshandruu_Pica
Quence,Suarbi,Outer Rim,386.64,-915.178,http://starwars.wikia.com/wiki/Suarbi
Parmel,Vohai,Outer Rim,376.573,-850.952,http://starwars.wikia.com/wiki/Vohai
Skine,Skynara,Outer Rim,485.122,-930.793,http://starwars.wikia.com/wiki/Skynara
Sujimis,Meryx Minor,Outer Rim,365.885,-957.678,http://starwars.wikia.com/wiki/Meryx_Minor
Sujimis,Pantora,Outer Rim,427.86,-936.031,http://starwars.wikia.com/wiki/Pantora
Sujimis,Alzoc,Outer Rim,443.747,-943.363,http://starwars.wikia.com/wiki/Alzoc
Sujimis,Karazak,Outer Rim,470.458,-968.502,http://starwars.wikia.com/wiki/Karazak
Dail,Drexel,Outer Rim,528.98,-854.968,http://starwars.wikia.com/wiki/Drexel
Merel,Nedij,Outer Rim,532.419,-951.204,http://starwars.wikia.com/wiki/Nedij
Cor'ric,Reuss,Outer Rim,465.259,-846.588,http://starwars.wikia.com/wiki/Reuss
Cor'ric,Andalasa,Outer Rim,469.623,-830.701,http://starwars.wikia.com/wiki/Andalasa
Cadavine,Zhar,Outer Rim,493.89,-718.796,http://starwars.wikia.com/wiki/Zhar
Cadavine,Daan/Melida,Outer Rim,461.503,-766.976,http://starwars.wikia.com/wiki/Daan
Cadavine,Trigalis,Outer Rim,409.592,-743.928,http://starwars.wikia.com/wiki/Trigalis
Bajic,Vergesso,Outer Rim,436.803,-800.848,http://starwars.wikia.com/wiki/Vergesso
Bajic,Bajic,Outer Rim,429.994,-811.497,http://starwars.wikia.com/wiki/Bajic
Juris,Stend,Outer Rim,408.172,-752.315,http://starwars.wikia.com/wiki/Stend
Astal,Bahalian,Outer Rim,475.385,-812.545,http://starwars.wikia.com/wiki/Bahalian
Kiblini,Socorro,Outer Rim,515.189,-768.9,http://starwars.wikia.com/wiki/Socorro
Karthakk,Llanic,Outer Rim,527.425,-695.681,http://starwars.wikia.com/wiki/Llanic
Karthakk,Lok,Outer Rim,551.168,-721.286,http://starwars.wikia.com/wiki/Lok
Savareen,Christophsis,Outer Rim,576.833,-676.034,http://starwars.wikia.com/wiki/Christophsis
Savareen,Tythe,Outer Rim,579.566,-699.871,http://starwars.wikia.com/wiki/Tythe
Savareen,Nelvaan,Outer Rim,585.282,-699.026,http://starwars.wikia.com/wiki/Nelvaan
Savareen,Rodia,Outer Rim,597.336,-664.554,http://starwars.wikia.com/wiki/Rodia
Savareen,Orvax,Outer Rim,602.145,-744.796,http://starwars.wikia.com/wiki/Orvax
Dalchon,Shimia,Outer Rim,643.346,-756.9,http://starwars.wikia.com/wiki/Shimia
Dalchon,Dalchon,Outer Rim,645.441,-742.701,http://starwars.wikia.com/wiki/Dalchon
Arkanis,Tatooine,Outer Rim,644.386,-673.274,http://starwars.wikia.com/wiki/Tatooine
Arkanis,Geonosis,Outer Rim,644.96,-673.297,http://starwars.wikia.com/wiki/Geonosis
Arkanis,Austan,Outer Rim,621.861,-658.048,http://starwars.wikia.com/wiki/Austan
Arkanis,Pii,Outer Rim,620.026,-649.81,http://starwars.wikia.com/wiki/Pii_(planet)
Arkanis,Utaruun,Outer Rim,629.366,-666.814,http://starwars.wikia.com/wiki/Utaruun
Arkanis,Vuzsa,Outer Rim,642.419,-657.457,http://starwars.wikia.com/wiki/Vuzsa
Arkanis,Piroket,Outer Rim,660.907,-642.275,http://starwars.wikia.com/wiki/Piroket
Arkanis,A-Foroon,Outer Rim,660.017,-648.846,http://starwars.wikia.com/wiki/A-Foroon
Arkanis,B-Foroon,Outer Rim,659.514,-651.218,http://starwars.wikia.com/wiki/B-Foroon
Arkanis,C-Foroon,Outer Rim,658.905,-653.485,http://starwars.wikia.com/wiki/C-Foroon
Arkanis,New Ator,Outer Rim,624.429,-692.396,http://starwars.wikia.com/wiki/New_Ator
Arkanis,Kemal Station,Outer Rim,629.235,-684.194,http://starwars.wikia.com/wiki/Kemal_Station
Arkanis,Obana,Outer Rim,648.241,-687.722,http://starwars.wikia.com/wiki/Obana
Arkanis,Andooweel,Outer Rim,637.195,-678.594,http://starwars.wikia.com/wiki/Andooweel
Arkanis,Ooo-temiuk,Outer Rim,651.848,-667.27,http://starwars.wikia.com/wiki/Ooo-temiuk
Arkanis,Melnea's World,Outer Rim,671.887,-682.384,http://starwars.wikia.com/wiki/Melnea%27s_World
Arkanis,Cranan,Outer Rim,663.001,-684.103,http://starwars.wikia.com/wiki/Cranan
Arkanis,Gedi,Outer Rim,657.031,-692.182,http://starwars.wikia.com/wiki/Gedi
Arkanis,Vactooine,Outer Rim,666.265,-698.497,http://starwars.wikia.com/wiki/Vactooine
Arkanis,Arkanis,Outer Rim,614.052,-708.852,http://starwars.wikia.com/wiki/Arkanis
Arkanis,Gorno,Outer Rim,627.069,-720.659,http://starwars.wikia.com/wiki/Gorno
Arkanis,Issor,Outer Rim,622.577,-701.044,http://starwars.wikia.com/wiki/Issor
Arkanis,Huldamun,Outer Rim,625.099,-708.077,http://starwars.wikia.com/wiki/Huldamun
Arkanis,Najiba,Outer Rim,628.512,-704.77,http://starwars.wikia.com/wiki/Najiba
Arkanis,Tarnoonga,Outer Rim,671.477,-704.26,http://starwars.wikia.com/wiki/Tarnoonga
Arkanis,Cirus,Outer Rim,673.958,-712.9,http://starwars.wikia.com/wiki/Cirus
Arkanis,Khubeaie,Outer Rim,656.738,-715.451,http://starwars.wikia.com/wiki/Khubeaie
Arkanis,Heffrin,Outer Rim,645.987,-718.626,http://starwars.wikia.com/wiki/Heffrin
Arkanis,Vor Deo,Outer Rim,650.094,-702.312,http://starwars.wikia.com/wiki/Vor_Deo
Arkanis,Sirpar,Outer Rim,622.786,-716.713,http://starwars.wikia.com/wiki/Sirpar
Arkanis,Vasch,Outer Rim,633.241,-715.906,http://starwars.wikia.com/wiki/Vasch
Arkanis,Mika,Outer Rim,641.285,-715.267,http://starwars.wikia.com/wiki/Mika_(asteroid)
Hunnovers,Siskeen,Outer Rim,695.591,-702.744,http://starwars.wikia.com/wiki/Siskeen
Gaulus,Ryloth,Outer Rim,671.278,-762.021,http://starwars.wikia.com/wiki/Ryloth
Gaulus,Wrea,Outer Rim,710.151,-793.213,http://starwars.wikia.com/wiki/Wrea
Gaulus,Gaulus,Outer Rim,737.851,-775.522,http://starwars.wikia.com/wiki/Gaulus
Gaulus,Smuggler's Run,Outer Rim,729.418,-801.85,http://starwars.wikia.com/wiki/Smuggler%27s_Run
Ferra,Hypori,Outer Rim,724.532,-645.211,http://starwars.wikia.com/wiki/Hypori
Svetta,Kowak,Outer Rim,791.881,-602.07,http://starwars.wikia.com/wiki/Kowak
Svetta,Excarga,Outer Rim,826.642,-660.108,http://starwars.wikia.com/wiki/Excarga
Herios,Pzob,Outer Rim,872.575,-585.621,http://starwars.wikia.com/wiki/Pzob
Herios,Illarreen,Outer Rim,884.68,-613.243,http://starwars.wikia.com/wiki/Illarreen
Instrop,Rannon,Outer Rim,817.032,-713.029,http://starwars.wikia.com/wiki/Rannon
Instrop,Shinbone,Outer Rim,836.236,-735.898,http://starwars.wikia.com/wiki/Shinbone
Corporate Sector,Lo'Uran,Outer Rim,686.449,622.162,http://starwars.wikia.com/wiki/Lo'Uran
Corporate Sector,Ninn,Outer Rim,698.63,619.119,http://starwars.wikia.com/wiki/Ninn
Corporate Sector,Reltooine,Outer Rim,680.837,612.395,http://starwars.wikia.com/wiki/Reltooine
Corporate Sector,Mall'ordian,Outer Rim,693.696,610.988,http://starwars.wikia.com/wiki/Mall'ordian
Corporate Sector,Knolstee,Outer Rim,680.383,605.143,http://starwars.wikia.com/wiki/Knolstee
Corporate Sector,Kail,Outer Rim,681.203,600.513,http://starwars.wikia.com/wiki/Kail
Corporate Sector,Davirien,Outer Rim,684.396,600.698,http://starwars.wikia.com/wiki/Davirien
Corporate Sector,Drog,Outer Rim,693.288,599.428,http://starwars.wikia.com/wiki/Drog
Corporate Sector,Craci,Outer Rim,695.193,587.981,http://starwars.wikia.com/wiki/Craci
Corporate Sector,Bonadan,Outer Rim,739.782,601.747,http://starwars.wikia.com/wiki/Bonadan
Corporate Sector,Lythos,Outer Rim,713.223,607.801,http://starwars.wikia.com/wiki/Lythos
Corporate Sector,D'ian,Outer Rim,732.969,603.85,http://starwars.wikia.com/wiki/D'ian
Hapes Cluster,,Inner Rim,336.545,49.619,
Corporate Sector,Atchorb,Outer Rim,734.09,611.382,http://starwars.wikia.com/wiki/Atchorb
Corporate Sector,Tothis,Outer Rim,741.63,606.937,http://starwars.wikia.com/wiki/Tothis
Corporate Sector,R'alla,Outer Rim,746.34,601.672,http://starwars.wikia.com/wiki/R'alla
Corporate Sector,Kir,Outer Rim,748.606,603.083,http://starwars.wikia.com/wiki/Kir
Corporate Sector,Deltooine,Outer Rim,752.928,602.113,http://starwars.wikia.com/wiki/Deltooine
Corporate Sector,Fether,Outer Rim,756.112,602.721,http://starwars.wikia.com/wiki/Fether
Corporate Sector,Ocsin,Outer Rim,757.726,603.189,http://starwars.wikia.com/wiki/Ocsin
Corporate Sector,Kamar,Outer Rim,759.622,603.735,http://starwars.wikia.com/wiki/Kamar
Corporate Sector,Brosi,Outer Rim,746.691,619.87,http://starwars.wikia.com/wiki/Brosi
Corporate Sector,Abo Dreth,Outer Rim,739.794,622.145,http://starwars.wikia.com/wiki/Abo_Dreth
Corporate Sector,Ulicia,Outer Rim,736.884,623.186,http://starwars.wikia.com/wiki/Ulicia
Corporate Sector,Perin,Outer Rim,721.847,631.909,http://starwars.wikia.com/wiki/Perin
Corporate Sector,Fibuli,Outer Rim,711.193,631.953,http://starwars.wikia.com/wiki/Fibuli
Corporate Sector,Hiit,Outer Rim,712.531,625.55,http://starwars.wikia.com/wiki/Hiit
Corporate Sector,Etti,Outer Rim,730.248,598.133,http://starwars.wikia.com/wiki/Etti
Corporate Sector,Jerrist,Outer Rim,713.374,584.934,http://starwars.wikia.com/wiki/Jerrist
Corporate Sector,Saclas,Outer Rim,718.666,579.576,http://starwars.wikia.com/wiki/Saclas
Corporate Sector,Duroon,Outer Rim,721.521,581.122,http://starwars.wikia.com/wiki/Duroon
Corporate Sector,Ammuud,Outer Rim,731.778,577.193,http://starwars.wikia.com/wiki/Ammuud
Corporate Sector,Biewa,Outer Rim,728.537,586.387,http://starwars.wikia.com/wiki/Biewa
Corporate Sector,Urdur,Outer Rim,735.28,580.13,http://starwars.wikia.com/wiki/Urdur
Corporate Sector,Oslumpex,Outer Rim,739.01,581.047,http://starwars.wikia.com/wiki/Oslumpex
Corporate Sector,Matra,Outer Rim,745.034,579.08,http://starwars.wikia.com/wiki/Matra
Corporate Sector,Orron,Outer Rim,747.51,576.267,http://starwars.wikia.com/wiki/Orron
Corporate Sector,Joodrudda,Outer Rim,756.471,582.758,http://starwars.wikia.com/wiki/Joodrudda
Corporate Sector,Gaurick,Outer Rim,754.548,584.716,http://starwars.wikia.com/wiki/Gaurick
Corporate Sector,Ban-Satir,Outer Rim,751.426,589.526,http://starwars.wikia.com/wiki/Ban-Satir
Corporate Sector,Pondut Station,Outer Rim,736.222,587.798,http://starwars.wikia.com/wiki/Pondut_Station
Corporate Sector,Kalla,Outer Rim,734.034,589.526,http://starwars.wikia.com/wiki/Kalla
Corporate Sector,Issagra,Outer Rim,747.616,595.418,http://starwars.wikia.com/wiki/Issagra
Corporate Sector,Saffalore,Outer Rim,736.574,594.465,http://starwars.wikia.com/wiki/Saffalore
Corporate Sector,Erysthes,Outer Rim,744.609,599.051,http://starwars.wikia.com/wiki/Erysthes
Corporate Sector,Rampa,Outer Rim,747.555,599.236,http://starwars.wikia.com/wiki/Rampa
Corporate Sector,Media,Outer Rim,722.498,590.867,http://starwars.wikia.com/wiki/Media
Corporate Sector,Ession,Outer Rim,730.013,593.089,http://starwars.wikia.com/wiki/Ession
Corporate Sector,Maryo,Outer Rim,713.655,596.803,http://starwars.wikia.com/wiki/Maryo
Corporate Sector,Tirsa,Outer Rim,715.666,594.396,http://starwars.wikia.com/wiki/Tirsa
Aparo,Cadomai,Outer Rim,668.17,612.862,http://starwars.wikia.com/wiki/Cadomai
Aparo,Lur,Outer Rim,671.775,595.847,http://starwars.wikia.com/wiki/Lur
Gordian Reach,Kushibah,Outer Rim,486.027,462.297,http://starwars.wikia.com/wiki/Kushibah
Gordian Reach,Feswe Prime,Outer Rim,411.585,417.05,http://starwars.wikia.com/wiki/Feswe_Prime
Gordian Reach,Feswe Minor,Outer Rim,406.91,406.819,http://starwars.wikia.com/wiki/Feswe_Minor
Gordian Reach,Krylon,Outer Rim,441.394,401.616,http://starwars.wikia.com/wiki/Krylon
Gordian Reach,Ladarra,Outer Rim,453.565,414.227,http://starwars.wikia.com/wiki/Ladarra
Gordian Reach,Marrovia,Outer Rim,463.531,424.017,http://starwars.wikia.com/wiki/Marrovia
Gordian Reach,Kli'aar,Outer Rim,475.967,430.896,http://starwars.wikia.com/wiki/Kli%27aar
Gordian Reach,Mogoshyn,Outer Rim,483.704,452.774,http://starwars.wikia.com/wiki/Mogoshyn
Gordian Reach,Betshish,Outer Rim,485.204,440.78,http://starwars.wikia.com/wiki/Betshish
Gordian Reach,Vaal,Outer Rim,487.408,400.034,http://starwars.wikia.com/wiki/Vaal
Gordian Reach,Glade,Outer Rim,491.554,413.44,http://starwars.wikia.com/wiki/Glade
Gordian Reach,Feswe Corridor,Outer Rim,428.43,412.023,http://starwars.wikia.com/wiki/Feswe_Corridor
Gordian Reach,Torque,Outer Rim,461.36,381.023,http://starwars.wikia.com/wiki/Torque
Gordian Reach,Yavin,Outer Rim,458.395,398.671,http://starwars.wikia.com/wiki/Yavin
Gordian Reach,Tertiary Feswe,Outer Rim,404.845,393.836,http://starwars.wikia.com/wiki/Tertiary_Feswe
Gordian Reach,Selitan,Outer Rim,417.051,388.051,http://starwars.wikia.com/wiki/Selitan
Gordian Reach,Denarii Station,Outer Rim,422.625,377.82,http://starwars.wikia.com/wiki/Denarii_Station
Gordian Reach,,Outer Rim,432.379,382.577,
Gordian Reach,Presbalin,Outer Rim,417.386,367.407,http://starwars.wikia.com/wiki/Presbalin
Gordian Reach,Far Indosa,Outer Rim,432.069,357.3,http://starwars.wikia.com/wiki/Far_Indosa
Gordian Reach,Near Indosa,Outer Rim,442.441,368.307,http://starwars.wikia.com/wiki/Near_Indosa
Gordian Reach,Trinovat,Outer Rim,455.458,366.19,http://starwars.wikia.com/wiki/Trinovat
Gordian Reach,Durgen's Star,Outer Rim,471.757,358.676,http://starwars.wikia.com/wiki/Durgen%27s_Star
Gordian Reach,Jovan,Outer Rim,481.282,379.208,http://starwars.wikia.com/wiki/Jovan
Gordian Reach,Xochtl,Outer Rim,487.314,362.592,http://starwars.wikia.com/wiki/Xochtl
Gordian Reach,Povanaria,Outer Rim,492.606,354.548,http://starwars.wikia.com/wiki/Povanaria
Gordian Reach,Bronsoon,Outer Rim,497.262,365.026,http://starwars.wikia.com/wiki/Bronsoon
Gordian Reach,Feena,Outer Rim,549.753,407.225,http://starwars.wikia.com/wiki/Feena
Gordian Reach,Troos,Outer Rim,535.889,460.213,http://starwars.wikia.com/wiki/Troos
Gordian Reach,Mannova,Outer Rim,502.313,448.982,http://starwars.wikia.com/wiki/Mannova
Gordian Reach,Wetyin's Colony,Outer Rim,513.867,429.932,http://starwars.wikia.com/wiki/Wetyin%27s_Colony
Gordian Reach,Atorra,Outer Rim,539.924,450.722,http://starwars.wikia.com/wiki/Atorra
